-4.9	-0.1003889423
-4.8	-0.06242336135
-4.7	-0.05354127572
-4.6	-0.05366459629
-4.5	-0.0600196013
-4.4	-0.07406617293
-4.3	-0.1019807889
-4.2	-0.1640610505
-4.1	-0.3639731139
-3.9	0.4919058174
-3.8	0.2996321345
-3.7	0.2516439959
-3.6	0.246857143
-3.5	0.2700882059
-3.4	0.3258911609
-3.3	0.4385173922
-3.2	0.689056412
-3.1	1.492289767
-2.9	-1.918432688
-2.8	-1.138602111
-2.7	-0.9310827848
-2.6	-0.8886857146
-2.5	-0.9453087205
-2.4	-1.108029947
-2.3	-1.447107394
-2.2	-2.204980518
-2.1	-4.626098278
-1.9	5.563454794
-1.8	3.188085911
-1.7	2.513923519
-1.6	2.310582858
-1.5	2.363271801
-1.4	2.659271873
-1.3	3.328347007
-1.2	4.85095714
-1.1	9.714806383
-0.9	-10.57056411
-0.8	-5.73855464
-0.7	-4.273669983
-0.6	-3.696932573
-0.5	-3.544907702
-0.4	-3.722980622
-0.3	-4.326851109
-0.2	-5.821148568
-0.1	-10.68628702
0.1	9.513507699
0.2	4.590843712
0.3	2.991568988
0.4	2.218159544
0.5	1.772453851
0.6	1.489192249
0.7	1.298055333
0.8	1.164229714
0.9	1.068628702
1	1
1.1	0.9513507699
1.2	0.9181687424
1.3	0.8974706963
1.4	0.8872638175
1.5	0.8862269254
1.6	0.8935153493
1.7	0.9086387329
1.8	0.931383771
1.9	0.9617658319
2	1
2.1	1.046485847
2.2	1.101802491
2.3	1.166711905
2.4	1.242169345
2.5	1.329340388
2.6	1.429624559
2.7	1.544685846
2.8	1.676490788
2.9	1.827355081
3	2
3.1	2.197620278
3.2	2.42396548
3.3	2.683437382
3.4	2.981206427
3.5	3.32335097
3.6	3.717023853
3.7	4.170651784
3.8	4.694174206
3.9	5.299329734
4	6
4.1	6.812622863
4.2	7.756689536
4.3	8.855343361
4.4	10.13610185
4.5	11.6317284
4.6	13.38128587
4.7	15.4314116
4.8	17.83786198
4.9	20.66738596
5	24
